,Impact,poorPerfection,poornessPercent,goodDesignsElim,totalPerfection,numCorrect,goodPerfection,goodnessPercent,numIncorrect,poorEliminationPercent,poorDesignsElim
rule_B1_Y_Rule_B,0,False,100,0,True,1998,False,100,1998,,0
rule_B1_Y_Rule_A,-13,False,68,888,False,1734,False,55,2262,41,624
rule_B1andH2_PIn1andPIn2_Rule_O,-25,False,61,1283,False,1490,False,35,2506,37,775
rule_PIn1_P2_Rule_I,29,False,70,14,False,2582,False,99,1414,97,598
rule_H1_S1_Rule_T,-5,False,67,753,False,1896,False,62,2100,46,651
rule_PIn1_Rule_R,0,False,100,0,True,1998,False,100,1998,,0
rule_H1_S1_Rule_F,-19,False,86,661,False,1612,False,66,2384,29,275
rule_PA2_P2_Rule_I,3,False,96,0,False,2058,True,100,1938,100,60
rule_PIn1_Rule_M,0,False,100,0,True,1998,False,100,1998,,0
rule_B1andP1_PIn2andPA1_Rule_O,4,False,47,954,False,2090,False,52,1906,52,1046
rule_PA2_A1_Rule_I,0,False,100,0,True,1998,False,100,1998,,0
rule_P2_S1_Rule_T,56,False,25,349,False,3136,False,82,860,80,1487
rule_B2_P2_Rule_F,-14,False,69,905,False,1700,False,54,2296,40,607
rule_PIn1_B2_Rule_I,-11,False,90,420,False,1770,False,78,2226,31,192
rule_PIn1_A1_Rule_I,-11,False,92,372,False,1770,False,81,2226,27,144
rule_B2_Rule_M,14,False,30,1093,False,2296,False,45,1700,55,1391
rule_B2_P2_Rule_B,8,False,89,39,False,2160,False,98,1836,83,201
rule_H1_P1_Rule_T,5,False,46,955,False,2104,False,52,1892,52,1061
rule_B2_Rule_R,-6,False,94,222,False,1878,False,88,2118,31,102
rule_S1_Y_Rule_F,15,False,76,150,False,2310,False,92,1686,75,462
rule_PA1_H2_Rule_I,-1,True,100,30,False,1968,False,98,2028,0,0
rule_A1andB2_PIn2andPA1_Rule_O,-14,False,62,1052,False,1705,False,47,2291,41,759
rule_S1_Y_Rule_A,15,False,76,150,False,2310,False,92,1686,75,462
rule_S1_Y_Rule_B,0,False,100,0,True,1998,False,100,1998,,0
rule_H2_B1_Rule_T,-15,False,57,1161,False,1692,False,41,2304,42,855
rule_PA2_B2_Rule_I,-3,True,100,60,False,1938,False,96,2058,0,0
rule_H1_P1_Rule_B,1,False,96,48,False,2022,False,97,1974,60,72
rule_A1andP1_PB1andPB2_Rule_O,-1,False,87,278,False,1970,False,86,2026,47,250
